epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.1903,3.90024,4.57556,4.24866,0.00069,0.13966,0.00043,0.00014,4.03918,4.0702,4.18036,0.000655914,0.000655914,0.000655914
2,46.5569,3.25751,3.47951,3.54327,0.10808,0.01117,0.02332,0.00493,3.48748,3.9929,3.81877,0.00131822,0.00131822,0.00131822
3,67.202,2.82362,2.89532,3.0307,0.23712,0.08939,0.08834,0.02384,3.00981,5.93033,3.65573,0.00197612,0.00197612,0.00197612
4,86.4718,2.63196,2.49994,2.77381,0.32164,0.26816,0.21164,0.06371,2.47779,4.19695,2.82686,0.0019802,0.0019802,0.0019802
5,105.907,2.46971,2.23972,2.65819,0.24671,0.26816,0.16502,0.04854,2.54963,3.38498,2.90544,0.0019736,0.0019736,0.0019736
6,125.945,2.42959,2.17243,2.59367,0.32909,0.30168,0.21046,0.06442,2.4392,2.339,2.64538,0.001967,0.001967,0.001967
7,145.18,2.30603,1.96205,2.47468,0.33786,0.25698,0.20103,0.06362,2.36705,2.65381,2.75554,0.0019604,0.0019604,0.0019604
8,164.809,2.22831,1.84781,2.39065,0.47689,0.51397,0.43732,0.17177,1.99448,1.91056,2.37562,0.0019538,0.0019538,0.0019538
9,184.627,2.19368,1.79919,2.38453,0.5311,0.39665,0.42254,0.1669,2.00522,1.81305,2.36037,0.0019472,0.0019472,0.0019472
10,203.594,2.13955,1.71369,2.34148,0.70951,0.47758,0.55955,0.23819,1.87369,1.81658,2.28213,0.0019406,0.0019406,0.0019406
11,223.173,2.11334,1.65781,2.30757,0.60656,0.54261,0.54854,0.25336,1.87824,2.00172,2.25892,0.001934,0.001934,0.001934
12,243.171,2.11832,1.67142,2.31268,0.70427,0.54548,0.59548,0.26751,1.80478,1.78017,2.19745,0.0019274,0.0019274,0.0019274
13,261.92,2.02624,1.57973,2.23931,0.79258,0.58101,0.69916,0.30537,1.84555,1.50839,2.23803,0.0019208,0.0019208,0.0019208
14,281.328,2.01305,1.5599,2.22287,0.7716,0.59218,0.67867,0.31464,1.79833,1.50462,2.16951,0.0019142,0.0019142,0.0019142
15,301.141,2.00218,1.49881,2.20655,0.78042,0.63128,0.67899,0.26652,1.86666,1.39751,2.23661,0.0019076,0.0019076,0.0019076
16,319.889,1.97751,1.43948,2.16746,0.70833,0.65922,0.66305,0.29488,1.83345,1.34709,2.19449,0.001901,0.001901,0.001901
17,339.534,1.94089,1.40477,2.12993,0.77408,0.61254,0.69276,0.32646,1.74842,1.44903,2.12743,0.0018944,0.0018944,0.0018944
18,359.175,1.91052,1.43627,2.12939,0.77723,0.54749,0.6265,0.27313,1.84874,1.58593,2.20855,0.0018878,0.0018878,0.0018878
19,378.158,1.89168,1.35962,2.0897,0.79337,0.64804,0.74978,0.33755,1.75956,1.375,2.11687,0.0018812,0.0018812,0.0018812
20,397.578,1.87381,1.4188,2.07562,0.78523,0.69447,0.7562,0.36604,1.71262,1.27512,2.11872,0.0018746,0.0018746,0.0018746
21,418.007,1.85531,1.3649,2.06419,0.79555,0.69832,0.75423,0.35212,1.71327,1.31391,2.11449,0.001868,0.001868,0.001868
22,436.623,1.86047,1.37324,2.07909,0.80981,0.64225,0.74227,0.36866,1.66861,1.27734,2.04978,0.0018614,0.0018614,0.0018614
23,455.862,1.83198,1.2692,2.01037,0.79357,0.69274,0.748,0.38752,1.68115,1.21707,2.09056,0.0018548,0.0018548,0.0018548
24,475.443,1.84045,1.2771,2.03793,0.86255,0.6257,0.75706,0.38051,1.71968,1.32485,2.12671,0.0018482,0.0018482,0.0018482
