epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.9372,3.90024,4.57556,4.24866,0.00069,0.13966,0.00043,0.00014,4.03918,4.0702,4.18036,0.000655914,0.000655914,0.000655914
2,53.9243,3.24097,3.4842,3.53599,0.00245,0.07821,0.00087,0.00029,3.65377,5.07633,3.88877,0.00130949,0.00130949,0.00130949
3,76.3953,2.82211,2.86789,3.00639,0.00569,0.12849,0.00537,0.00149,2.83063,26.637,3.16782,0.00194986,0.00194986,0.00194986
4,100.455,2.63922,2.50359,2.75997,0.35268,0.28492,0.20619,0.0747,2.29513,3.1819,2.74431,0.0019406,0.0019406,0.0019406
5,123.991,2.48109,2.29718,2.66768,0.22966,0.15084,0.15122,0.05259,2.24412,5.5099,2.67017,0.0019208,0.0019208,0.0019208
6,147.457,2.41947,2.23686,2.59586,0.41111,0.26816,0.20467,0.06204,2.31264,3.17443,2.66469,0.001901,0.001901,0.001901
7,167.838,2.32731,2.06464,2.50486,0.40684,0.2905,0.28995,0.10435,2.14781,2.29048,2.54054,0.0018812,0.0018812,0.0018812
8,186.618,2.23829,1.93004,2.39619,0.42455,0.40223,0.36912,0.13762,2.10527,2.03933,2.46497,0.0018614,0.0018614,0.0018614
9,205.528,2.19036,1.86328,2.3837,0.46531,0.46186,0.42576,0.16506,2.03006,1.9404,2.34594,0.0018416,0.0018416,0.0018416
10,225.231,2.17477,1.76784,2.35191,0.59039,0.47509,0.49803,0.19437,1.98018,1.97284,2.32676,0.0018218,0.0018218,0.0018218
11,243.9,2.14281,1.69806,2.31744,0.63835,0.53073,0.57635,0.25055,1.92928,1.66415,2.30534,0.001802,0.001802,0.001802
12,263.318,2.12241,1.68383,2.31261,0.68532,0.51955,0.62553,0.27789,1.91195,1.69002,2.2717,0.0017822,0.0017822,0.0017822
13,282.79,2.06037,1.63327,2.26637,0.6141,0.50279,0.53454,0.24378,1.86222,1.69967,2.2392,0.0017624,0.0017624,0.0017624
14,301.412,2.03118,1.60478,2.24454,0.72515,0.60432,0.65267,0.30271,1.76962,1.67606,2.16098,0.0017426,0.0017426,0.0017426
15,321.463,2.01507,1.51613,2.21588,0.77039,0.58109,0.68247,0.30176,1.85156,1.49541,2.25994,0.0017228,0.0017228,0.0017228
16,340.565,1.99179,1.49619,2.17416,0.72842,0.43017,0.47919,0.22036,2.00863,2.12223,2.39948,0.001703,0.001703,0.001703
17,359.364,1.9632,1.44165,2.15238,0.82044,0.58711,0.67427,0.29551,1.83352,1.47527,2.19886,0.0016832,0.0016832,0.0016832
18,379.097,1.92188,1.42402,2.14593,0.82682,0.58679,0.70105,0.34072,1.73934,1.42585,2.14291,0.0016634,0.0016634,0.0016634
19,397.997,1.91755,1.38795,2.10488,0.80424,0.67039,0.73555,0.36459,1.65415,1.39188,2.06197,0.0016436,0.0016436,0.0016436
20,416.739,1.89561,1.41206,2.09243,0.79978,0.48603,0.58769,0.27994,1.85909,1.60219,2.23925,0.0016238,0.0016238,0.0016238
21,437.061,1.84879,1.37538,2.06059,0.82775,0.68156,0.76498,0.36455,1.76759,1.4191,2.1495,0.001604,0.001604,0.001604
22,455.676,1.88874,1.36522,2.08424,0.8178,0.59777,0.70958,0.35566,1.71,1.29115,2.11017,0.0015842,0.0015842,0.0015842
23,474.272,1.82724,1.28636,2.02475,0.85796,0.65922,0.79121,0.39041,1.6369,1.18061,2.08167,0.0015644,0.0015644,0.0015644
24,494.595,1.8242,1.26104,2.02564,0.77509,0.74302,0.76314,0.39838,1.68742,1.23874,2.10449,0.0015446,0.0015446,0.0015446
25,513.11,1.83335,1.25942,2.05917,0.81955,0.71044,0.77829,0.40266,1.638,1.20184,2.06131,0.0015248,0.0015248,0.0015248
26,531.831,1.77315,1.22807,1.98801,0.84478,0.60894,0.73652,0.35028,1.72346,1.25749,2.13137,0.001505,0.001505,0.001505
27,551.659,1.79423,1.22337,2.01035,0.83328,0.58638,0.70788,0.3387,1.8186,1.317,2.18083,0.0014852,0.0014852,0.0014852
28,570.175,1.78414,1.19196,1.98296,0.83395,0.72067,0.81517,0.44653,1.52321,1.0954,1.95734,0.0014654,0.0014654,0.0014654
29,589.214,1.73551,1.18369,1.94779,0.89544,0.70391,0.81656,0.42902,1.56888,1.14315,2.00184,0.0014456,0.0014456,0.0014456
30,609.049,1.73801,1.18573,1.94482,0.86723,0.76629,0.86043,0.44648,1.54708,1.05598,1.96003,0.0014258,0.0014258,0.0014258
31,627.897,1.72158,1.12495,1.92493,0.88059,0.70039,0.83052,0.42589,1.6239,1.18114,2.00317,0.001406,0.001406,0.001406
32,647.129,1.73177,1.16477,1.96253,0.87983,0.65363,0.75553,0.37335,1.7546,1.14755,2.17791,0.0013862,0.0013862,0.0013862
33,666.933,1.7182,1.13044,1.92583,0.84256,0.74302,0.8173,0.43225,1.62226,1.05755,1.98166,0.0013664,0.0013664,0.0013664
34,685.6,1.71633,1.14051,1.92236,0.8255,0.78212,0.84176,0.4332,1.58618,1.11198,1.99054,0.0013466,0.0013466,0.0013466
35,704.684,1.69991,1.11452,1.92674,0.87034,0.75,0.83336,0.44448,1.54787,0.9918,1.95439,0.0013268,0.0013268,0.0013268
36,724.602,1.68218,1.09082,1.89458,0.88618,0.78212,0.85429,0.45429,1.56531,0.97773,1.93952,0.001307,0.001307,0.001307
37,743.373,1.66573,1.06978,1.88701,0.87195,0.77095,0.85868,0.44717,1.59844,1.00101,1.96162,0.0012872,0.0012872,0.0012872
38,762.125,1.65998,1.1017,1.88558,0.91188,0.7516,0.86934,0.47027,1.49933,1.0138,1.9188,0.0012674,0.0012674,0.0012674
39,782.465,1.66841,1.06278,1.87187,0.8821,0.79414,0.85949,0.48751,1.46979,0.93434,1.88705,0.0012476,0.0012476,0.0012476
40,801.443,1.63066,1.0465,1.87767,0.88039,0.82245,0.89073,0.47061,1.5426,0.9286,1.9324,0.0012278,0.0012278,0.0012278
41,820.195,1.62487,1.0225,1.84746,0.9279,0.79083,0.89068,0.49041,1.50152,0.86742,1.88741,0.001208,0.001208,0.001208
42,840.551,1.66064,1.02919,1.87087,0.92558,0.77095,0.8867,0.47114,1.50428,0.94617,1.89056,0.0011882,0.0011882,0.0011882
43,859.035,1.61938,1.05569,1.83914,0.86521,0.78895,0.87222,0.45839,1.55116,0.96227,1.93442,0.0011684,0.0011684,0.0011684
44,877.494,1.63347,0.99458,1.84955,0.88518,0.77095,0.85506,0.44309,1.60407,0.90925,1.94925,0.0011486,0.0011486,0.0011486
45,897.85,1.59319,0.98178,1.80756,0.88508,0.81564,0.88455,0.48961,1.45661,0.83661,1.88009,0.0011288,0.0011288,0.0011288
46,916.674,1.61216,1.01159,1.83406,0.92854,0.80447,0.88657,0.48914,1.45739,0.8608,1.8845,0.001109,0.001109,0.001109
47,935.513,1.60549,1.01543,1.84722,0.91824,0.81568,0.89524,0.48964,1.52859,0.83006,1.9083,0.0010892,0.0010892,0.0010892
48,955.815,1.55847,0.97516,1.82486,0.92345,0.80873,0.89391,0.50108,1.472,0.85742,1.87091,0.0010694,0.0010694,0.0010694
